id,name,postal,province,city,industry,rev_band,revenue_m,employees,founded,status,website,phone,description,news1_title,news1_date,news1_url,news2_title,news2_date,news2_url,news3_title,news3_date,news3_url,lat,lng,pop,area_type
1,Axiom Cloud Solutions,M5V,ON,Toronto,Technology,enterprise,245,1850,2008,Customer,axiomcloud.ca,416-555-0101,"Axiom Cloud Solutions is a Toronto-based enterprise software company specializing in cloud infrastructure management and DevOps automation. Serving over 400 clients across North America, Axiom helps organizations accelerate digital transformation through AI-driven deployment pipelines and multi-cloud governance platforms.","Axiom Cloud Raises $40M Series C to Expand US Operations",2024-03-15,https://techcrunch.com,"Axiom Launches AI-Powered Cost Optimizer for AWS & Azure",2024-01-28,https://businesswire.com,"Axiom Named Top 10 Cloud Innovators by CIO Review",2023-11-10,https://cioreview.com,43.6426,-79.3871,28400,Urban
2,NorthBridge Capital,M5V,ON,Toronto,Finance,large,88,420,2015,Customer,northbridgecap.ca,416-555-0202,"NorthBridge Capital is a Canadian mid-market private equity firm managing over $1.2B in assets. The firm focuses on growth equity investments in technology-enabled businesses across Canada and the northeastern United States, with a portfolio spanning fintech, healthcare IT, and industrial software.","NorthBridge Closes $320M Fund IV for Canadian Mid-Market",2024-04-02,https://privateequitywire.co.uk,"NorthBridge Backs AI Startup Meridian Analytics",2024-02-14,https://globeandmail.com,"NorthBridge Named Private Equity Firm of the Year – Canada",2023-10-05,https://privateequityinternational.com,43.6426,-79.3871,28400,Urban
3,BrightPath Media,M5V,ON,Toronto,Technology,mid,32,180,2019,Prospect,brightpathmedia.ca,416-555-0303,"BrightPath Media is a Toronto-based digital marketing and content intelligence platform. The company offers AI-powered content analytics, influencer matching, and programmatic advertising solutions to mid-market brands across Canada.","BrightPath Launches Real-Time Content Performance Dashboard",2024-03-20,https://marketingmag.ca,"BrightPath Partners with Rogers Media for Digital Ad Network",2024-01-09,https://adweek.com,"BrightPath CEO Named to Canada's 40 Under 40 List",2023-09-22,https://canadianbusiness.com,43.6426,-79.3871,28400,Urban
4,Maple Leaf Ventures,M5V,ON,Toronto,Finance,mid,45,95,2017,Customer,mapleleafvc.ca,416-555-0404,"Maple Leaf Ventures is an early-stage venture capital firm investing in Canadian deep tech, cleantech, and digital health startups. With $180M under management, the firm backs founders from pre-seed through Series A and provides hands-on operational support through its 90-day founder program.","Maple Leaf Ventures Announces $75M Fund III",2024-02-20,https://betakit.com,"Portfolio Company CleanVolt Raises $12M with Maple Leaf Lead",2024-01-15,https://techcrunch.com,"Maple Leaf Ventures Opens Vancouver Office",2023-08-30,https://biv.com,43.6426,-79.3871,28400,Urban
5,Fusion Eats Co,M5V,ON,Toronto,Food & Beverage,small,6.5,55,2021,Prospect,fusioneats.ca,416-555-0505,"Fusion Eats Co is a Toronto food-tech startup operating a ghost kitchen network across the GTA. The company powers over 15 virtual restaurant brands through a single production hub, leveraging data-driven menu optimization and third-party delivery platform integrations to maximize order volume.","Fusion Eats Expands to 8 New Ghost Kitchen Locations in GTA",2024-03-01,https://foodserviceandhospitality.com,"Fusion Eats Partners with DoorDash Canada for Exclusive Brands",2024-01-22,https://restaurantbusinessonline.com,"Fusion Eats Named Best Food Tech Startup at Canadian Innovation Awards",2023-11-05,https://innovationawards.ca,43.6426,-79.3871,28400,Urban
6,Vertex Analytics,M5T,ON,Toronto,Technology,mid,28,160,2016,Customer,vertexanalytics.ca,416-555-0606,"Vertex Analytics delivers real-time business intelligence and data pipeline solutions to financial services and retail clients. Its platform integrates with over 200 data sources and offers pre-built industry models, enabling non-technical users to generate actionable insights through natural language queries.","Vertex Analytics Releases GPT-Powered Query Engine",2024-04-10,https://datanami.com,"Vertex Signs Enterprise Deal with TD Bank for Data Platform",2024-02-28,https://financialpost.com,"Vertex Analytics Wins Deloitte Fast 50 Award",2023-10-18,https://deloitte.ca,43.6534,-79.3965,19200,Urban
7,Heritage Health Group,M5T,ON,Toronto,Healthcare,large,72,640,2009,Customer,heritagehealth.ca,416-555-0707,"Heritage Health Group operates a network of 14 private medical clinics and diagnostic imaging centers across the Greater Toronto Area. The company offers family medicine, physiotherapy, occupational health, and corporate wellness programs to over 120,000 patients annually.","Heritage Health Acquires 3 Clinics in Mississauga",2024-03-12,https://healthcarebusiness.com,"Heritage Health Launches Virtual Care Platform for Corporate Clients",2024-01-30,https://canadianhealthcaretechnology.com,"Heritage Health Wins Ontario Ministry of Health Innovation Grant",2023-12-01,https://ontario.ca,43.6534,-79.3965,19200,Urban
8,Chinatown Grocers Ltd,M5T,ON,Toronto,Retail,small,8.2,110,2001,Inactive,,,416-555-0808,"Chinatown Grocers Ltd is a specialty Asian grocery retailer operating three stores in the Toronto Chinatown district. The company sources produce, dry goods, and prepared foods directly from suppliers in Asia and local Ontario farms, serving both retail and restaurant wholesale customers.","Chinatown Grocers Closes Spadina Ave Location After 22 Years",2024-02-14,https://toronto.com,"Chinatown Grocers Rebrands Two Stores Under New Management",2023-09-08,https://blogto.com,"Chinatown Grocers Files for Creditor Protection",2023-06-20,https://globeandmail.com,43.6534,-79.3965,19200,Urban
9,Rosedale Partners,M4W,ON,Toronto,Finance,enterprise,310,2200,2003,Customer,rosedalepartners.ca,416-555-0909,"Rosedale Partners is one of Canada's leading independent asset managers with $4.2B in AUM. The firm operates fixed income, equity, and alternative investment strategies for institutional clients, family offices, and high-net-worth individuals across Canada and internationally.","Rosedale Partners Acquires Boutique Fixed Income Firm BlueSky Capital",2024-04-05,https://financialpost.com,"Rosedale Partners Launches AI-Driven ESG Screening Platform",2024-02-10,https://responsible-investor.com,"Rosedale Partners Reports Record $4.2B AUM for FY2023",2024-01-15,https://reuters.com,43.6795,-79.3762,15600,Urban
10,Pinnacle Real Estate,M4W,ON,Toronto,Real Estate,large,95,380,2011,Customer,pinnaclere.ca,416-555-1010,"Pinnacle Real Estate is a full-service commercial and residential real estate brokerage and asset management firm. The company manages a portfolio of $1.8B in properties across the GTA, with specializations in mixed-use urban development, purpose-built rentals, and commercial leasing.","Pinnacle Breaks Ground on $220M Mixed-Use Tower in Midtown Toronto",2024-03-28,https://constructioncanada.net,"Pinnacle Real Estate Acquires 4 Rental Buildings in East York",2024-01-20,https://renx.ca,"Pinnacle Wins BOMA Canada Award for Sustainable Building Management",2023-11-14,https://boma.ca,43.6795,-79.3762,15600,Urban
11,GreenMed Pharma,M4W,ON,Toronto,Healthcare,mid,41,290,2014,Prospect,greenmedpharma.ca,416-555-1111,"GreenMed Pharma is a Canadian specialty pharmaceutical company focused on developing and commercializing plant-derived therapeutics. Its pipeline includes three Phase II candidates targeting chronic inflammation, neuropathic pain, and metabolic disorders, with a proprietary botanical extraction platform.","GreenMed Phase II Trial Shows 67% Efficacy for Pain Candidate",2024-04-01,https://businesswire.com,"GreenMed Pharma Secures $22M Strategic Partnership with Pfizer Canada",2024-02-05,https://prnewswire.com,"GreenMed Pharma Listed on TSX Venture Exchange",2023-09-15,https://tsx.com,43.6795,-79.3762,15600,Urban
12,Distillery DevHub,M5A,ON,Toronto,Technology,mid,19,145,2020,Prospect,distillerydev.ca,416-555-1212,"Distillery DevHub is a Toronto product studio and developer platform focused on helping startups build, test, and scale software products. The company offers end-to-end product development, technical co-founding partnerships, and a suite of developer tools for rapid MVP iteration.","Distillery DevHub Launches Startup Accelerator Program",2024-03-14,https://betakit.com,"Distillery DevHub Partners with DMZ at Ryerson for Student Founders",2024-01-25,https://ryerson.ca,"Distillery DevHub Raises $4.5M Pre-Seed Round",2023-10-12,https://techcrunch.com,43.6560,-79.3566,18700,Urban
13,Copper & Grain Brewing,M5A,ON,Toronto,Food & Beverage,small,4.8,42,2018,Customer,coppergrain.ca,416-555-1313,"Copper & Grain Brewing is an independent craft brewery located in the Distillery District. The brewery produces 24 year-round and seasonal beers distributed across Ontario's LCBO network and sold direct-to-consumer through its taproom and online store.","Copper & Grain Opens Second Taproom in Kensington Market",2024-02-28,https://toronto.com,"Copper & Grain Wins Gold at Ontario Brewing Awards",2024-01-12,https://ontariobrewingawards.ca,"Copper & Grain Launches Direct-to-Home Delivery in GTA",2023-08-20,https://thestar.com,43.6560,-79.3566,18700,Urban
14,Urban Loft Realty,M5A,ON,Toronto,Real Estate,small,7.2,28,2019,Prospect,urbanloft.ca,416-555-1414,"Urban Loft Realty is a boutique Toronto real estate brokerage specializing in loft condominiums, artist live-work spaces, and heritage building conversions in the downtown core and east end. The firm represents over 400 transactions annually with a focus on unique and character properties.","Urban Loft Realty Launches First-Time Buyer Digital Concierge",2024-03-05,https://realestateboardtoronto.com,"Urban Loft Realty Expands into Hamilton and Guelph Markets",2024-01-18,https://renx.ca,"Urban Loft Named Best Boutique Brokerage by Toronto Life",2023-07-30,https://torontolife.com,43.6560,-79.3566,18700,Urban
15,AeroTech Aerospace,L4W,ON,Mississauga,Manufacturing,enterprise,520,4100,1995,Customer,aerotech.ca,905-555-1515,"AeroTech Aerospace is a Tier-1 aerospace and defense manufacturer supplying precision components, structural assemblies, and avionics integration systems to Boeing, Airbus, and the Government of Canada. Operating from a 450,000 sq ft facility near Toronto Pearson, AeroTech employs over 4,100 engineers and technicians.","AeroTech Wins $180M Contract to Supply Boeing 787 Structural Components",2024-04-08,https://defensenews.com,"AeroTech Aerospace Invests $45M in Next-Gen CNC Manufacturing Line",2024-02-22,https://aerospacemanufacturing.com,"AeroTech Named Canada's Top Defense Supplier by Canadian Defence Review",2024-01-05,https://canadiandefencereview.com,43.6501,-79.6136,48200,Suburban
16,SkyFreight Logistics,L4W,ON,Mississauga,Logistics,large,68,890,2007,Customer,skyfreight.ca,905-555-1616,"SkyFreight Logistics operates a full-service air cargo and ground freight network connecting Canada's major trade corridors. The company manages 2.4 million shipments annually with cross-dock facilities at Toronto Pearson, Vancouver YVR, and Montreal-Trudeau airports.","SkyFreight Opens New 180,000 sq ft Cross-Dock Hub at Pearson",2024-03-22,https://aircargonews.net,"SkyFreight Partners with Air Canada Cargo for Domestic Network",2024-02-01,https://aircargoworld.com,"SkyFreight Logistics Achieves IATA CEIV Fresh Certification",2023-11-28,https://iata.org,43.6501,-79.6136,48200,Suburban
17,Pharmax Distributors,L4W,ON,Mississauga,Healthcare,mid,34,210,2012,Prospect,pharmax.ca,905-555-1717,"Pharmax Distributors is a Canadian pharmaceutical wholesale and third-party logistics provider serving independent pharmacies, hospital networks, and clinical trial sites. The company maintains temperature-controlled distribution centers in Mississauga and Calgary.","Pharmax Distributors Expands Cold Chain to 8 New Hospital Accounts",2024-04-03,https://drugstorecanada.ca,"Pharmax Launches Digital Order Management Platform for Pharmacy Chains",2024-01-29,https://pharmacypost.ca,"Pharmax Distributors Wins Pharmacy Supply Chain Award",2023-10-20,https://pharmacyassociation.ca,43.6501,-79.6136,48200,Suburban
18,Quantum Retail Systems,L4W,ON,Mississauga,Technology,mid,22,175,2017,Customer,quantumretail.ca,905-555-1818,"Quantum Retail Systems develops enterprise retail management software with capabilities in inventory optimization, demand forecasting, and omnichannel order management. Its platform serves over 80 Canadian retail chains representing 3,200+ store locations across the country.","Quantum Retail Launches AI Demand Forecasting Engine v3.0",2024-03-18,https://chainstoreage.com,"Quantum Retail Partners with Shopify Plus for Enterprise Integration",2024-01-14,https://prnewswire.com,"Quantum Retail Systems Named Gartner Cool Vendor in Retail Tech",2023-09-05,https://gartner.com,43.6501,-79.6136,48200,Suburban
19,Centrix Financial,L5B,ON,Mississauga,Finance,enterprise,180,1450,2001,Customer,centrixfinancial.ca,905-555-1919,"Centrix Financial is a diversified financial services company offering commercial lending, equipment financing, and factoring solutions to Canadian mid-market businesses. With a portfolio exceeding $2.1B, Centrix serves over 1,800 clients across manufacturing, transportation, and construction sectors.","Centrix Financial Launches $500M SME Recovery Lending Program",2024-04-12,https://financialpost.com,"Centrix Acquires Western Canada Equipment Finance Company",2024-02-18,https://canadianmoneysaver.ca,"Centrix Financial Reports 18% YoY Revenue Growth for FY2023",2024-01-10,https://bloomberg.com,43.5890,-79.6440,38600,Suburban
20,MedCore Devices,L5B,ON,Mississauga,Healthcare,large,76,560,2008,Customer,medcoredevices.ca,905-555-2020,"MedCore Devices is a Canadian medical device manufacturer specializing in diagnostic imaging equipment, surgical instruments, and remote patient monitoring systems. The company holds 34 Health Canada approvals and exports to 28 countries through its international distribution network.","MedCore Devices Receives FDA 510(k) Clearance for Remote Monitor",2024-03-30,https://meddeviceonline.com,"MedCore Launches AI Diagnostic Imaging Platform with Sunnybrook",2024-02-08,https://canada.ca,"MedCore Devices Wins Export Development Canada Innovation Award",2023-12-15,https://edc.ca,43.5890,-79.6440,38600,Suburban
21,Greenleaf Foods,L5B,ON,Mississauga,Food & Beverage,mid,15,120,2015,Prospect,greenleaffoods.ca,905-555-2121,"Greenleaf Foods produces plant-based protein products for retail and foodservice markets across Canada and the US. The company's flagship brands include a pea protein burger line and oat-based dairy alternatives distributed in over 3,400 grocery and health food locations.","Greenleaf Foods Launches New Oat Milk Line in 1,200 Loblaws Stores",2024-03-08,https://foodbusinessnews.net,"Greenleaf Secures $8M Strategic Equity from Maple Leaf Foods",2024-01-22,https://businesswire.com,"Greenleaf Foods Named Top Plant-Based Brand by EcoParent Magazine",2023-10-01,https://ecoparent.ca,43.5890,-79.6440,38600,Suburban
22,HorizonTech Systems,L3R,ON,Markham,Technology,enterprise,430,3200,1999,Customer,horizontech.ca,905-555-2222,"HorizonTech Systems is a Markham-based IT solutions integrator and managed services provider serving enterprise clients across North America. The company specializes in hybrid cloud architecture, cybersecurity operations, and digital workplace transformation with a 500+ person technical delivery team.","HorizonTech Wins $95M Federal Cloud Modernization Contract",2024-04-15,https://itworldcanada.com,"HorizonTech Acquires Ottawa Cybersecurity Firm SecureVault",2024-02-25,https://prnewswire.com,"HorizonTech Systems Certified as Microsoft Azure Expert MSP",2024-01-08,https://microsoft.com,43.8561,-79.3370,56200,Suburban
23,Markham Biosciences,L3R,ON,Markham,Healthcare,large,82,640,2006,Customer,markhambiosciences.ca,905-555-2323,"Markham Biosciences is a contract research and development organization providing preclinical testing, bioanalytical services, and regulatory consulting to pharmaceutical and biotech companies. Its ISO 17025-accredited lab performs over 12,000 assays annually for clients in 22 countries.","Markham Biosciences Expands Genomics Lab with $15M Investment",2024-03-25,https://labmanager.com,"Markham Biosciences Partners with University of Toronto for Drug Discovery",2024-01-30,https://utoronto.ca,"Markham Biosciences Achieves EMA GLP Compliance Certification",2023-11-20,https://ema.europa.eu,43.8561,-79.3370,56200,Suburban
24,Pacific Rim Trading,L3R,ON,Markham,Retail,mid,27,185,2013,Prospect,pacificrimtrading.ca,905-555-2424,"Pacific Rim Trading is a wholesale and retail distributor of Asian consumer goods, electronics, and specialty foods serving the Greater Toronto and Vancouver markets. The company operates two large-format showrooms and an e-commerce platform serving both B2B and B2C customers.","Pacific Rim Trading Launches Same-Day GTA Delivery Service",2024-02-20,https://retailinsider.com,"Pacific Rim Trading Opens 25,000 sq ft Markham Showroom",2024-01-05,https://markhameconomist.com,"Pacific Rim Trading Named Top Asian Specialty Retailer by Retail Council",2023-08-14,https://retailcouncil.org,43.8561,-79.3370,56200,Suburban
25,DeltaLogix Software,L3R,ON,Markham,Technology,mid,38,290,2016,Customer,deltalogix.ca,905-555-2525,"DeltaLogix Software develops ERP and supply chain management solutions for Canadian manufacturers and distributors. The company's flagship platform integrates procurement, inventory, production scheduling, and financial reporting in a single cloud-native environment.","DeltaLogix Releases Version 8.0 with Generative AI Assistant",2024-04-02,https://enterprisetimes.co.uk,"DeltaLogix Wins Canadian Manufacturing Technology Deal of the Year",2024-02-12,https://mfgmag.com,"DeltaLogix Partners with SAP Canada as Preferred ISV",2023-09-28,https://sap.com,43.8561,-79.3370,56200,Suburban
26,FedTech Solutions,K1A,ON,Ottawa,Technology,large,91,720,2010,Customer,fedtech.ca,613-555-2626,"FedTech Solutions is Ottawa's leading federal IT services company, providing application development, data analytics, and cybersecurity solutions to over 25 Government of Canada departments. The company holds Secret-level security clearance and specializes in modernizing legacy systems.","FedTech Wins $38M Treasury Board Digital Services Contract",2024-04-10,https://itworldcanada.com,"FedTech Solutions Achieves PBMM Cloud Compliance Certification",2024-02-05,https://canada.ca,"FedTech Named Top Government Technology Employer in Canada",2023-10-25,https://mediacorp.ca,45.4215,-75.7002,8200,Urban
27,Capital Analytics,K2P,ON,Ottawa,Technology,mid,24,180,2018,Prospect,capitalanalytics.ca,613-555-2727,"Capital Analytics is an Ottawa-based data science consultancy serving public sector and regulated industry clients. The company offers machine learning model development, geospatial analytics, and evidence-based policy research tools for federal and provincial government agencies.","Capital Analytics Launches GovAI Platform for Policy Simulation",2024-03-18,https://govinsider.asia,"Capital Analytics Partners with Statistics Canada on Census Data Platform",2024-01-28,https://statcan.gc.ca,"Capital Analytics Named Best Place to Work in Ottawa Tech",2023-11-10,https://ottawabusiness.com,45.4120,-75.6954,18700,Urban
28,OttawaHealth Clinics,K2P,ON,Ottawa,Healthcare,mid,18,245,2014,Customer,ottawahealth.ca,613-555-2828,"OttawaHealth Clinics is a network of 6 interdisciplinary primary care and rehabilitation clinics serving the National Capital Region. The group employs family physicians, nurse practitioners, physiotherapists, and mental health professionals, offering extended evening and weekend hours.","OttawaHealth Expands Mental Health Services with 12 New Therapists",2024-03-22,https://ottawacitizen.com,"OttawaHealth Launches AI-Powered Appointment Scheduling System",2024-01-15,https://canadianhealthcaretechnology.com,"OttawaHealth Clinics Accredited by Accreditation Canada",2023-09-05,https://accreditation.ca,45.4120,-75.6954,18700,Urban
29,Rideau Property Group,K1N,ON,Ottawa,Real Estate,large,65,320,2009,Prospect,rideauproperty.ca,613-555-2929,"Rideau Property Group is an Ottawa-based commercial real estate developer and property manager with a focus on federal government leasing, tech campus developments, and mixed-use urban intensification projects in the National Capital Region and Eastern Ontario.","Rideau Property Group Breaks Ground on $85M Kanata Tech Campus",2024-04-05,https://ottawabusiness.com,"Rideau Property Signs Long-Term Lease with PSPC for New Federal Building",2024-02-14,https://canada.ca,"Rideau Property Group Wins NAIOP Ottawa Developer of the Year",2023-10-18,https://naiop.org,45.4308,-75.6836,22600,Urban
30,Pacific Edge Technologies,V6B,BC,Vancouver,Technology,enterprise,295,2400,2004,Customer,pacificedge.ca,604-555-3030,"Pacific Edge Technologies is Vancouver's premier digital transformation and software engineering company, serving Fortune 500 clients across North America and Asia-Pacific. Specializing in enterprise mobile applications, API integration platforms, and AI-driven product development.","Pacific Edge Launches Asia-Pacific Innovation Hub in Singapore",2024-04-08,https://techcrunch.com,"Pacific Edge Technologies Wins Microsoft Global Partner of the Year",2024-02-20,https://microsoft.com,"Pacific Edge Reports Record $295M Revenue on International Expansion",2024-01-12,https://biv.com,49.2827,-123.1207,35200,Urban
31,Harbour Finance Corp,V6B,BC,Vancouver,Finance,large,78,510,2011,Customer,harbourfinance.ca,604-555-3131,"Harbour Finance Corp is a Vancouver-based specialty finance company providing real estate bridge lending, equipment finance, and trade credit solutions to Western Canadian businesses. The company manages a $950M loan portfolio with a focus on BC's construction, resource, and agriculture sectors.","Harbour Finance Corp Closes $200M Real Estate Debt Fund",2024-03-30,https://benefitscanada.com,"Harbour Finance Expands Alberta Agriculture Lending Program",2024-01-25,https://albertafarmer.com,"Harbour Finance Named Best Alternative Lender by Canadian Mortgage Awards",2023-11-08,https://canadianmortgageawards.com,49.2827,-123.1207,35200,Urban
32,Cedar & Stone Design,V6B,BC,Vancouver,Real Estate,mid,31,140,2017,Prospect,cedarstone.ca,604-555-3232,"Cedar & Stone Design is a Vancouver-based architecture, interior design, and real estate development company focused on sustainable mixed-use and residential projects in BC and the Pacific Northwest. The firm is known for its integration of West Coast timber construction with contemporary design.","Cedar & Stone Wins AIBC Architecture Award for Gastown Mixed-Use",2024-03-15,https://architecturecanada.org,"Cedar & Stone Design Named in Architectural Digest's Global Innovators",2024-01-20,https://architecturaldigest.com,"Cedar & Stone Breaks Ground on Net-Zero Townhome Development in Squamish",2023-10-30,https://constructioncanada.net,49.2827,-123.1207,35200,Urban
33,Westcoast Health Systems,V6B,BC,Vancouver,Healthcare,enterprise,185,1600,2002,Customer,westcoasthealth.ca,604-555-3333,"Westcoast Health Systems is BC's largest private healthcare company operating urgent care centers, surgical clinics, and digital health platforms across British Columbia and Alberta. The company delivers over 350,000 patient visits annually and provides occupational health services to 200+ employers.","Westcoast Health Acquires Fraser Valley Urgent Care Network",2024-04-12,https://healthcarebusiness.com,"Westcoast Health Launches AI-Powered Triage Platform",2024-02-28,https://canadianhealthcaretechnology.com,"Westcoast Health Systems Expands to 4 New Locations in Alberta",2024-01-08,https://calgaryherald.com,49.2827,-123.1207,35200,Urban
